timestamp,commit_hash,extension,total_size_bytes
2025-10-03T07:40:12Z,05986913c6ad98876bf75fbc1fdd681dfd69f3bf,exe,47173720
2025-10-03T07:40:12Z,05986913c6ad98876bf75fbc1fdd681dfd69f3bf,opt,320517440
2025-10-03T07:40:12Z,05986913c6ad98876bf75fbc1fdd681dfd69f3bf,a,143533606
2025-10-03T07:40:12Z,05986913c6ad98876bf75fbc1fdd681dfd69f3bf,cmxa,267065
2025-10-03T07:40:12Z,05986913c6ad98876bf75fbc1fdd681dfd69f3bf,cma,176640202
2025-10-03T07:40:12Z,05986913c6ad98876bf75fbc1fdd681dfd69f3bf,cmi,19115896
2025-10-03T07:40:12Z,05986913c6ad98876bf75fbc1fdd681dfd69f3bf,cmx,42945928
2025-10-03T07:40:12Z,05986913c6ad98876bf75fbc1fdd681dfd69f3bf,cmo,957746
2025-10-03T07:40:12Z,05986913c6ad98876bf75fbc1fdd681dfd69f3bf,cms,0
2025-10-03T07:40:12Z,05986913c6ad98876bf75fbc1fdd681dfd69f3bf,cmsi,0
2025-10-03T07:40:12Z,05986913c6ad98876bf75fbc1fdd681dfd69f3bf,cmt,377717439
2025-10-03T07:40:12Z,05986913c6ad98876bf75fbc1fdd681dfd69f3bf,cmti,52474767
2025-10-03T07:40:12Z,05986913c6ad98876bf75fbc1fdd681dfd69f3bf,o,58384
