timestamp,commit_hash,extension,total_size_bytes
2025-09-25T21:38:10Z,be871379c755f79d2a2560882809cfe37594db8f,exe,40497416
2025-09-25T21:38:10Z,be871379c755f79d2a2560882809cfe37594db8f,opt,271059896
2025-09-25T21:38:10Z,be871379c755f79d2a2560882809cfe37594db8f,a,124940460
2025-09-25T21:38:10Z,be871379c755f79d2a2560882809cfe37594db8f,cmxa,265954
2025-09-25T21:38:10Z,be871379c755f79d2a2560882809cfe37594db8f,cma,218068732
2025-09-25T21:38:10Z,be871379c755f79d2a2560882809cfe37594db8f,cmi,19019532
2025-09-25T21:38:10Z,be871379c755f79d2a2560882809cfe37594db8f,cmx,42774602
2025-09-25T21:38:10Z,be871379c755f79d2a2560882809cfe37594db8f,cmo,1143540
2025-09-25T21:38:10Z,be871379c755f79d2a2560882809cfe37594db8f,cms,0
2025-09-25T21:38:10Z,be871379c755f79d2a2560882809cfe37594db8f,cmsi,0
2025-09-25T21:38:10Z,be871379c755f79d2a2560882809cfe37594db8f,cmt,410760018
2025-09-25T21:38:10Z,be871379c755f79d2a2560882809cfe37594db8f,cmti,52011827
2025-09-25T21:38:10Z,be871379c755f79d2a2560882809cfe37594db8f,o,58384
