timestamp,commit_hash,pr_number,extension,total_size_bytes
2025-10-27T13:00:54Z,d2946a0d7ef89536a8cef9a3005ed3c19dcf256a,4914,exe,48598056
2025-10-27T13:00:54Z,d2946a0d7ef89536a8cef9a3005ed3c19dcf256a,4914,opt,331816176
2025-10-27T13:00:54Z,d2946a0d7ef89536a8cef9a3005ed3c19dcf256a,4914,a,144884608
2025-10-27T13:00:54Z,d2946a0d7ef89536a8cef9a3005ed3c19dcf256a,4914,cmxa,301496
2025-10-27T13:00:54Z,d2946a0d7ef89536a8cef9a3005ed3c19dcf256a,4914,cma,184125358
2025-10-27T13:00:54Z,d2946a0d7ef89536a8cef9a3005ed3c19dcf256a,4914,cmi,19539097
2025-10-27T13:00:54Z,d2946a0d7ef89536a8cef9a3005ed3c19dcf256a,4914,cmx,44505087
2025-10-27T13:00:54Z,d2946a0d7ef89536a8cef9a3005ed3c19dcf256a,4914,cmo,996163
2025-10-27T13:00:54Z,d2946a0d7ef89536a8cef9a3005ed3c19dcf256a,4914,cms,0
2025-10-27T13:00:54Z,d2946a0d7ef89536a8cef9a3005ed3c19dcf256a,4914,cmsi,0
2025-10-27T13:00:54Z,d2946a0d7ef89536a8cef9a3005ed3c19dcf256a,4914,cmt,390530748
2025-10-27T13:00:54Z,d2946a0d7ef89536a8cef9a3005ed3c19dcf256a,4914,cmti,53381049
2025-10-27T13:00:54Z,d2946a0d7ef89536a8cef9a3005ed3c19dcf256a,4914,o,58384
