timestamp,commit_hash,pr_number,extension,total_size_bytes
2025-09-26T12:26:09Z,ed7fe63532261b2b6a4408a20820a647defd0d10,4765,exe,40533344
2025-09-26T12:26:09Z,ed7fe63532261b2b6a4408a20820a647defd0d10,4765,opt,271358000
2025-09-26T12:26:09Z,ed7fe63532261b2b6a4408a20820a647defd0d10,4765,a,125037822
2025-09-26T12:26:09Z,ed7fe63532261b2b6a4408a20820a647defd0d10,4765,cmxa,265966
2025-09-26T12:26:09Z,ed7fe63532261b2b6a4408a20820a647defd0d10,4765,cma,219972356
2025-09-26T12:26:09Z,ed7fe63532261b2b6a4408a20820a647defd0d10,4765,cmi,19246420
2025-09-26T12:26:09Z,ed7fe63532261b2b6a4408a20820a647defd0d10,4765,cmx,42853388
2025-09-26T12:26:09Z,ed7fe63532261b2b6a4408a20820a647defd0d10,4765,cmo,1153667
2025-09-26T12:26:09Z,ed7fe63532261b2b6a4408a20820a647defd0d10,4765,cms,0
2025-09-26T12:26:09Z,ed7fe63532261b2b6a4408a20820a647defd0d10,4765,cmsi,0
2025-09-26T12:26:09Z,ed7fe63532261b2b6a4408a20820a647defd0d10,4765,cmt,415870651
2025-09-26T12:26:09Z,ed7fe63532261b2b6a4408a20820a647defd0d10,4765,cmti,52382009
2025-09-26T12:26:09Z,ed7fe63532261b2b6a4408a20820a647defd0d10,4765,o,58384
