timestamp,commit_hash,extension,total_size_bytes
2025-09-24T15:34:15Z,b1b7eba3eefe9c8cc7416513a8db2671084ffbed,exe,40477400
2025-09-24T15:34:15Z,b1b7eba3eefe9c8cc7416513a8db2671084ffbed,opt,270916856
2025-09-24T15:34:15Z,b1b7eba3eefe9c8cc7416513a8db2671084ffbed,a,124863088
2025-09-24T15:34:15Z,b1b7eba3eefe9c8cc7416513a8db2671084ffbed,cmxa,265914
2025-09-24T15:34:15Z,b1b7eba3eefe9c8cc7416513a8db2671084ffbed,cma,218001281
2025-09-24T15:34:15Z,b1b7eba3eefe9c8cc7416513a8db2671084ffbed,cmi,19013303
2025-09-24T15:34:15Z,b1b7eba3eefe9c8cc7416513a8db2671084ffbed,cmx,42722904
2025-09-24T15:34:15Z,b1b7eba3eefe9c8cc7416513a8db2671084ffbed,cmo,1143540
2025-09-24T15:34:15Z,b1b7eba3eefe9c8cc7416513a8db2671084ffbed,cms,0
2025-09-24T15:34:15Z,b1b7eba3eefe9c8cc7416513a8db2671084ffbed,cmsi,0
2025-09-24T15:34:15Z,b1b7eba3eefe9c8cc7416513a8db2671084ffbed,cmt,410604488
2025-09-24T15:34:15Z,b1b7eba3eefe9c8cc7416513a8db2671084ffbed,cmti,51987692
2025-09-24T15:34:15Z,b1b7eba3eefe9c8cc7416513a8db2671084ffbed,o,58384
